Date,Open,High,Low,Close,Adj Close,Volume,Symbol,actualizacion
2013-07-15,1.03941,1.0432,1.0379,1.0392,1.0392,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-07-16,1.04355,1.04551,1.0383,1.04347,1.04347,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-07-17,1.0378,1.04369,1.03559,1.0378,1.0378,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-07-18,1.0409,1.0437,1.0388,1.04089,1.04089,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-07-19,1.0379,1.03929,1.036,1.0379,1.0379,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-07-22,1.03537,1.03623,1.0331,1.0353,1.0353,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-07-23,1.03365,1.0346799999999998,1.02867,1.0335,1.0335,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-07-24,1.02913,1.03121,1.0262,1.0290000000000001,1.0290000000000001,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-07-25,1.03174,1.03174,1.0275,1.0319200000000002,1.0319200000000002,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-07-26,1.02869,1.03003,1.0257,1.0286,1.0286,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-07-29,1.02676,1.028,1.0259,1.02703,1.02703,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-07-30,1.0261,1.0301,1.0257,1.0262,1.0262,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-07-31,1.0299,1.03324,1.0281,1.03012,1.03012,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-08-01,1.0281,1.0337,1.0264,1.0284,1.0284,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-08-02,1.03465,1.0398,1.03401,1.0347,1.0347,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-08-05,1.03878,1.04024,1.0377,1.03875,1.03875,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-08-06,1.03587,1.03889,1.0347,1.03572,1.03572,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-08-07,1.0374,1.0442,1.0373,1.0372,1.0372,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-08-08,1.04205,1.04287,1.0346,1.04209,1.04209,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-08-09,1.0328,1.0352,1.02843,1.0327,1.0327,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-08-12,1.0285,1.03161,1.0279,1.0283,1.0283,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-08-13,1.03113,1.03475,1.0299,1.03121,1.03121,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-08-14,1.0346,1.03691,1.03175,1.0344799999999998,1.0344799999999998,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-08-15,1.03317,1.03596,1.03,1.03317,1.03317,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-08-16,1.03015,1.03582,1.0293,1.03019,1.03019,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-08-19,1.03336,1.03407,1.03145,1.03319,1.03319,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-08-20,1.0344799999999998,1.03994,1.0342,1.0345,1.0345,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-08-21,1.03948,1.04511,1.03948,1.0395,1.0395,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-08-22,1.0483,1.05151,1.04703,1.0483,1.0483,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-08-23,1.0517,1.05662,1.0509,1.05166,1.05166,0.0,USDCAD=X,2020-10-18 20:38:42.780037
